x,y,value
0,0,-4.5865e+229
0.1,0,-8.96043e+229
0.2,0,-2.12517e+230
0.3,0,-5.08801e+230
0.4,0,-1.18955e+231
0.5,0,-2.702e+231
0.6,0,-5.95757e+231
0.7,0,-1.27473e+232
0.8,0,-2.64639e+232
0.9,0,-5.3297e+232
1,0,-1.0411e+233
1.1,0,-1.97223e+233
1.2,0,-3.62261e+233
1.3,0,-6.45085e+233
1.4,0,-1.11346e+234
1.5,0,-1.86264e+234
1.6,0,-3.01932e+234
1.7,0,-4.74187e+234
1.8,0,-7.21415e+234
1.9,0,-1.06304e+235
2,0,-1.51698e+235
2.1,0,-2.09609e+235
2.2,0,-2.80398e+235
2.3,0,-3.63087e+235
2.4,0,-4.55045e+235
2.5,0,-5.51879e+235
2.6,0,-6.47616e+235
2.7,0,-7.35218e+235
2.8,0,-8.07391e+235
2.9,0,-8.5757e+235
3,0,-8.80899e+235
3.1,0,-8.75011e+235
3.2,0,-8.40429e+235
3.3,0,-7.80488e+235
3.4,0,-7.00802e+235
3.5,0,-6.08398e+235
3.6,0,-5.10684e+235
3.7,0,-4.14485e+235
3.8,0,-3.25303e+235
3.9,0,-2.46906e+235
4,0,-1.81254e+235
4.1,0,-1.28712e+235
4.2,0,-8.8428e+234
4.3,0,-5.87872e+234
4.4,0,-3.78273e+234
4.5,0,-2.35698e+234
4.6,0,-1.42383e+234
4.7,0,-8.37196e+233
4.8,0,-4.85914e+233
4.9,0,-2.91961e+233
5,0,-2.06605e+233
0,0.1,-8.96043e+229
0.1,0.1,-1.74102e+230
0.2,0.1,-4.10749e+230
0.3,0.1,-9.78818e+230
0.4,0.1,-2.27845e+231
0.5,0.1,-5.15387e+231
0.6,0.1,-1.13185e+232
0.7,0.1,-2.41263e+232
0.8,0.1,-4.99067e+232
0.9,0.1,-1.00166e+233
1,0.1,-1.95034e+233
1.1,0.1,-3.68342e+233
1.2,0.1,-6.7465e+233
1.3,0.1,-1.19818e+234
1.4,0.1,-2.06307e+234
1.5,0.1,-3.44342e+234
1.6,0.1,-5.57031e+234
1.7,0.1,-8.73208e+234
1.8,0.1,-1.3263e+235
1.9,0.1,-1.95155e+235
2,0.1,-2.78146e+235
2.1,0.1,-3.83931e+235
2.2,0.1,-5.13162e+235
2.3,0.1,-6.64065e+235
2.4,0.1,-8.31872e+235
2.5,0.1,-1.00862e+236
2.6,0.1,-1.18346e+236
2.7,0.1,-1.34362e+236
2.8,0.1,-1.47583e+236
2.9,0.1,-1.5681e+236
3,0.1,-1.61153e+236
3.1,0.1,-1.60173e+236
3.2,0.1,-1.53954e+236
3.3,0.1,-1.43092e+236
3.4,0.1,-1.28602e+236
3.5,0.1,-1.1176e+236
3.6,0.1,-9.39168e+235
3.7,0.1,-7.63194e+235
3.8,0.1,-5.99783e+235
3.9,0.1,-4.55895e+235
4,0.1,-3.35196e+235
4.1,0.1,-2.38428e+235
4.2,0.1,-1.64101e+235
4.3,0.1,-1.09306e+235
4.4,0.1,-7.04806e+234
