x,value
0,0.000449085
0.1,0.000608062
0.2,0.000966871
0.3,0.00161294
0.4,0.00269144
0.5,0.00442111
0.6,0.00711332
0.7,0.0111916
0.8,0.0172074
0.9,0.0258463
1,0.037918
1.1,0.054321
1.2,0.0759781
1.3,0.103737
1.4,0.138239
1.5,0.179769
1.6,0.228101
1.7,0.282366
1.8,0.340969
1.9,0.4016
2,0.461324
2.1,0.516794
2.2,0.564548
2.3,0.601359
2.4,0.624597
2.5,0.632543
2.6,0.624597
2.7,0.601359
2.8,0.564548
2.9,0.516794
3,0.461324
3.1,0.4016
3.2,0.340969
3.3,0.282366
3.4,0.228101
3.5,0.179769
3.6,0.138239
3.7,0.103737
3.8,0.0759781
3.9,0.054321
4,0.037918
4.1,0.0258463
4.2,0.0172074
4.3,0.0111916
4.4,0.00711332
4.5,0.00442111
4.6,0.00269144
4.7,0.00161294
4.8,0.000966871
4.9,0.000608062
5,0.000449085
