x,value
0,0.0156367
0.1,0.0170033
0.2,0.0197841
0.3,0.0240712
0.4,0.0299953
0.5,0.0377165
0.6,0.0474119
0.7,0.0592604
0.8,0.0734249
0.9,0.0900322
1,0.109152
1.1,0.130776
1.2,0.154798
1.3,0.180999
1.4,0.209034
1.5,0.238433
1.6,0.268598
1.7,0.298826
1.8,0.328324
1.9,0.356245
2,0.381725
2.1,0.403927
2.2,0.422089
2.3,0.435561
2.4,0.443851
2.5,0.446649
2.6,0.443851
2.7,0.435561
2.8,0.422089
2.9,0.403927
3,0.381725
3.1,0.356245
3.2,0.328324
3.3,0.298826
3.4,0.268598
3.5,0.238433
3.6,0.209034
3.7,0.180999
3.8,0.154798
3.9,0.130776
4,0.109152
4.1,0.0900322
4.2,0.0734249
4.3,0.0592604
4.4,0.0474119
4.5,0.0377165
4.6,0.0299953
4.7,0.0240712
4.8,0.0197841
4.9,0.0170033
5,0.0156367
