x,value
0,5.81273e-07
0.1,1.30623e-06
0.2,3.53467e-06
0.3,9.5141e-06
0.4,2.48092e-05
0.5,6.24386e-05
0.6,0.000151488
0.7,0.000353993
0.8,0.000796009
0.9,0.00172089
1,0.00357357
1.1,0.0071213
1.2,0.0136055
1.3,0.024898
1.4,0.043601
1.5,0.0729981
1.6,0.11674
1.7,0.178172
1.8,0.259307
1.9,0.359592
2,0.474811
2.1,0.596589
2.2,0.712927
2.3,0.809925
2.4,0.874459
2.5,0.897112
2.6,0.874459
2.7,0.809925
2.8,0.712927
2.9,0.596589
3,0.474811
3.1,0.359592
3.2,0.259307
3.3,0.178172
3.4,0.11674
3.5,0.0729981
3.6,0.043601
3.7,0.024898
3.8,0.0136055
3.9,0.0071213
4,0.00357357
4.1,0.00172089
4.2,0.000796009
4.3,0.000353993
4.4,0.000151488
4.5,6.24386e-05
4.6,2.48092e-05
4.7,9.5141e-06
4.8,3.53467e-06
4.9,1.30623e-06
5,5.81273e-07
