x,value
0,3.57712e-10
0.1,1.37169e-09
0.2,6.00225e-09
0.3,2.54112e-08
0.4,1.03124e-07
0.5,4.0047e-07
0.6,1.48596e-06
0.7,5.26009e-06
0.8,1.7734e-05
0.9,5.6844e-05
1,0.000172905
1.1,0.000498091
1.2,0.00135604
1.3,0.00348114
1.4,0.00840683
1.5,0.0190515
1.6,0.0404097
1.7,0.0800101
1.8,0.147476
1.9,0.252364
2,0.399851
2.1,0.585093
2.2,0.788863
2.3,0.978069
2.4,1.11345
2.5,1.16274
2.6,1.11345
2.7,0.978069
2.8,0.788863
2.9,0.585093
3,0.399851
3.1,0.252364
3.2,0.147476
3.3,0.0800101
3.4,0.0404097
3.5,0.0190515
3.6,0.00840683
3.7,0.00348114
3.8,0.00135604
3.9,0.000498091
4,0.000172905
4.1,5.6844e-05
4.2,1.7734e-05
4.3,5.26009e-06
4.4,1.48596e-06
4.5,4.0047e-07
4.6,1.03124e-07
4.7,2.54112e-08
4.8,6.00225e-09
4.9,1.37169e-09
5,3.57712e-10
