x,value
0,0.0827821
0.1,0.0843606
0.2,0.087502
0.3,0.0921749
0.4,0.0983313
0.5,0.105907
0.6,0.114818
0.7,0.124965
0.8,0.136228
0.9,0.148468
1,0.161526
1.1,0.175228
1.2,0.189379
1.3,0.203773
1.4,0.218189
1.5,0.232398
1.6,0.246167
1.7,0.259263
1.8,0.271457
1.9,0.28253
2,0.292281
2.1,0.300527
2.2,0.307111
2.3,0.311908
2.4,0.314824
2.5,0.315803
2.6,0.314824
2.7,0.311908
2.8,0.307111
2.9,0.300527
3,0.292281
3.1,0.28253
3.2,0.271457
3.3,0.259263
3.4,0.246167
3.5,0.232398
3.6,0.218189
3.7,0.203773
3.8,0.189379
3.9,0.175228
4,0.161526
4.1,0.148468
4.2,0.136228
4.3,0.124965
4.4,0.114818
4.5,0.105907
4.6,0.0983313
4.7,0.0921749
4.8,0.087502
4.9,0.0843606
5,0.0827821
