x,value
0,0.0487144
0.1,0.0504935
0.2,0.0540512
0.3,0.0593851
0.4,0.0664877
0.5,0.0753431
0.6,0.0859215
0.7,0.0981739
0.8,0.112027
0.9,0.127376
1,0.144081
1.1,0.161966
1.2,0.180812
1.3,0.200359
1.4,0.220309
1.5,0.24033
1.6,0.260059
1.7,0.279116
1.8,0.297113
1.9,0.313662
2,0.328395
2.1,0.340968
2.2,0.351083
2.3,0.358493
2.4,0.363014
2.5,0.364534
2.6,0.363014
2.7,0.358493
2.8,0.351083
2.9,0.340968
3,0.328395
3.1,0.313662
3.2,0.297113
3.3,0.279116
3.4,0.260059
3.5,0.24033
3.6,0.220309
3.7,0.200359
3.8,0.180812
3.9,0.161966
4,0.144081
4.1,0.127376
4.2,0.112027
4.3,0.0981739
4.4,0.0859215
4.5,0.0753431
4.6,0.0664877
4.7,0.0593851
4.8,0.0540512
4.9,0.0504935
5,0.0487144
