x,y,value
0,0,0.175822
0.1,0,0.175848
0.2,0,0.1759
0.3,0,0.175979
0.4,0,0.176082
0.5,0,0.176212
0.6,0,0.176365
0.7,0,0.176543
0.8,0,0.176744
0.9,0,0.176968
1,0,0.177214
1.1,0,0.17748
1.2,0,0.177766
1.3,0,0.17807
1.4,0,0.178392
1.5,0,0.178729
1.6,0,0.179081
1.7,0,0.179446
1.8,0,0.179822
1.9,0,0.180208
2,0,0.180602
2.1,0,0.181002
2.2,0,0.181407
2.3,0,0.181815
2.4,0,0.182224
2.5,0,0.182633
2.6,0,0.183039
2.7,0,0.183441
2.8,0,0.183838
2.9,0,0.184228
3,0,0.184609
3.1,0,0.18498
3.2,0,0.185339
3.3,0,0.185686
3.4,0,0.18602
3.5,0,0.186339
3.6,0,0.186641
3.7,0,0.186928
3.8,0,0.187197
3.9,0,0.187448
4,0,0.18768
4.1,0,0.187893
4.2,0,0.188086
4.3,0,0.188259
4.4,0,0.188411
4.5,0,0.188542
4.6,0,0.188651
4.7,0,0.188739
4.8,0,0.188806
4.9,0,0.18885
5,0,0.188872
0,0.1,0.175848
0.1,0.1,0.175874
0.2,0.1,0.175927
0.3,0.1,0.176005
0.4,0.1,0.176109
0.5,0.1,0.176238
0.6,0.1,0.176392
0.7,0.1,0.17657
0.8,0.1,0.176772
0.9,0.1,0.176996
1,0.1,0.177242
1.1,0.1,0.177509
1.2,0.1,0.177795
1.3,0.1,0.1781
1.4,0.1,0.178422
1.5,0.1,0.17876
1.6,0.1,0.179112
1.7,0.1,0.179477
1.8,0.1,0.179854
1.9,0.1,0.180241
2,0.1,0.180635
2.1,0.1,0.181036
2.2,0.1,0.181442
2.3,0.1,0.181851
2.4,0.1,0.18226
2.5,0.1,0.182669
2.6,0.1,0.183076
2.7,0.1,0.183479
2.8,0.1,0.183876
2.9,0.1,0.184266
3,0.1,0.184647
3.1,0.1,0.185018
3.2,0.1,0.185377
3.3,0.1,0.185724
3.4,0.1,0.186057
3.5,0.1,0.186376
3.6,0.1,0.186678
3.7,0.1,0.186964
3.8,0.1,0.187233
3.9,0.1,0.187483
4,0.1,0.187715
4.1,0.1,0.187927
4.2,0.1,0.18812
4.3,0.1,0.188292
4.4,0.1,0.188444
4.5,0.1,0.188574
4.6,0.1,0.188684
4.7,0.1,0.188771
4.8,0.1,0.188837
4.9,0.1,0.188881
5,0.1,0.188903
0,0.2,0.1759
0.1,0.2,0.175927
0.2,0.2,0.175979
0.3,0.2,0.176058
0.4,0.2,0.176162
0.5,0.2,0.176292
0.6,0.2,0.176446
0.7,0.2,0.176625
0.8,0.2,0.176827
0.9,0.2,0.177052
1,0.2,0.177298
1.1,0.2,0.177566
1.2,0.2,0.177853
1.3,0.2,0.178159
1.4,0.2,0.178482
1.5,0.2,0.178821
1.6,0.2,0.179175
1.7,0.2,0.179541
1.8,0.2,0.179919
1.9,0.2,0.180307
2,0.2,0.180703
2.1,0.2,0.181105
2.2,0.2,0.181512
2.3,0.2,0.181922
2.4,0.2,0.182333
2.5,0.2,0.182743
2.6,0.2,0.183151
2.7,0.2,0.183554
2.8,0.2,0.183952
2.9,0.2,0.184342
3,0.2,0.184723
3.1,0.2,0.185094
3.2,0.2,0.185453
3.3,0.2,0.1858
3.4,0.2,0.186132
3.5,0.2,0.18645
3.6,0.2,0.186752
3.7,0.2,0.187037
3.8,0.2,0.187304
3.9,0.2,0.187554
4,0.2,0.187784
4.1,0.2,0.187996
4.2,0.2,0.188187
4.3,0.2,0.188359
4.4,0.2,0.188509
4.5,0.2,0.188639
4.6,0.2,0.188748
4.7,0.2,0.188835
4.8,0.2,0.188901
4.9,0.2,0.188944
5,0.2,0.188966
0,0.3,0.175979
0.1,0.3,0.176005
0.2,0.3,0.176058
0.3,0.3,0.176137
0.4,0.3,0.176241
0.5,0.3,0.176371
0.6,0.3,0.176526
0.7,0.3,0.176706
0.8,0.3,0.176909
0.9,0.3,0.177135
1,0.3,0.177382
1.1,0.3,0.177651
1.2,0.3,0.17794
1.3,0.3,0.178247
1.4,0.3,0.178572
1.5,0.3,0.178913
1.6,0.3,0.179268
1.7,0.3,0.179637
1.8,0.3,0.180017
1.9,0.3,0.180407
2,0.3,0.180805
2.1,0.3,0.181209
2.2,0.3,0.181618
2.3,0.3,0.18203
2.4,0.3,0.182442
2.5,0.3,0.182854
2.6,0.3,0.183263
2.7,0.3,0.183668
2.8,0.3,0.184066
2.9,0.3,0.184457
3,0.3,0.184838
3.1,0.3,0.185209
3.2,0.3,0.185568
3.3,0.3,0.185914
3.4,0.3,0.186246
3.5,0.3,0.186562
3.6,0.3,0.186862
3.7,0.3,0.187146
3.8,0.3,0.187412
3.9,0.3,0.18766
4,0.3,0.187889
4.1,0.3,0.188099
4.2,0.3,0.188289
4.3,0.3,0.188458
4.4,0.3,0.188608
4.5,0.3,0.188737
4.6,0.3,0.188844
4.7,0.3,0.188931
4.8,0.3,0.188996
4.9,0.3,0.189039
5,0.3,0.189061
0,0.4,0.176082
0.1,0.4,0.176109
0.2,0.4,0.176162
0.3,0.4,0.176241
0.4,0.4,0.176347
0.5,0.4,0.176477
0.6,0.4,0.176633
0.7,0.4,0.176814
0.8,0.4,0.177018
0.9,0.4,0.177245
1,0.4,0.177494
1.1,0.4,0.177765
1.2,0.4,0.178055
1.3,0.4,0.178365
1.4,0.4,0.178692
1.5,0.4,0.179035
1.6,0.4,0.179393
1.7,0.4,0.179764
1.8,0.4,0.180147
1.9,0.4,0.18054
2,0.4,0.180941
2.1,0.4,0.181348
2.2,0.4,0.18176
2.3,0.4,0.182174
2.4,0.4,0.182589
2.5,0.4,0.183003
2.6,0.4,0.183414
2.7,0.4,0.18382
2.8,0.4,0.18422
2.9,0.4,0.184611
3,0.4,0.184993
3.1,0.4,0.185364
3.2,0.4,0.185722
3.3,0.4,0.186067
3.4,0.4,0.186397
