x,value
0,4.42707e-20
0.1,6.63879e-19
0.2,9.99802e-18
0.3,1.42566e-16
0.4,1.92125e-15
0.5,2.44252e-14
0.6,2.92354e-13
0.7,3.28729e-12
0.8,3.46387e-11
0.9,3.41108e-10
1,3.12969e-09
1.1,2.66621e-08
1.2,2.10079e-07
1.3,1.52419e-06
1.4,1.01311e-05
1.5,6.13328e-05
1.6,0.000335872
1.7,0.00165047
1.8,0.0072085
1.9,0.0276628
2,0.0919811
2.1,0.260497
2.2,0.61519
2.3,1.1804
2.4,1.78468
2.5,2.06065
2.6,1.78468
2.7,1.1804
2.8,0.61519
2.9,0.260497
3,0.0919811
3.1,0.0276628
3.2,0.0072085
3.3,0.00165047
3.4,0.000335872
3.5,6.13328e-05
3.6,1.01311e-05
3.7,1.52419e-06
3.8,2.10079e-07
3.9,2.66621e-08
4,3.12969e-09
4.1,3.41108e-10
4.2,3.46387e-11
4.3,3.28729e-12
4.4,2.92354e-13
4.5,2.44252e-14
4.6,1.92125e-15
4.7,1.42566e-16
4.8,9.99802e-18
4.9,6.63879e-19
5,4.42707e-20
