x,y,value
0,0,-1.73046e+234
0.1,0,-2.31711e+234
0.2,0,-3.6425e+234
0.3,0,-6.03642e+234
0.4,0,-1.00587e+235
0.5,0,-1.65803e+235
0.6,0,-2.68947e+235
0.7,0,-4.286e+235
0.8,0,-6.70674e+235
0.9,0,-1.03029e+236
1,0,-1.55362e+236
1.1,0,-2.29954e+236
1.2,0,-3.34055e+236
1.3,0,-4.76259e+236
1.4,0,-6.66328e+236
1.5,0,-9.14782e+236
1.6,0,-1.23225e+237
1.7,0,-1.62851e+237
1.8,0,-2.11134e+237
1.9,0,-2.68508e+237
2,0,-3.34922e+237
2.1,0,-4.09708e+237
2.2,0,-4.91475e+237
2.3,0,-5.78065e+237
2.4,0,-6.66579e+237
2.5,0,-7.53491e+237
2.6,0,-8.34851e+237
2.7,0,-9.06564e+237
2.8,0,-9.64727e+237
2.9,0,-1.00598e+238
3,0,-1.02781e+238
3.1,0,-1.02885e+238
3.2,0,-1.00897e+238
3.3,0,-9.69346e+237
3.4,0,-9.12308e+237
3.5,0,-8.4113e+237
3.6,0,-7.5971e+237
3.7,0,-6.72213e+237
3.8,0,-5.82719e+237
3.9,0,-4.94919e+237
4,0,-4.11883e+237
4.1,0,-3.35926e+237
4.2,0,-2.6857e+237
4.3,0,-2.10585e+237
4.4,0,-1.621e+237
4.5,0,-1.2275e+237
4.6,0,-9.18486e+236
4.7,0,-6.85463e+236
4.8,0,-5.19823e+236
4.9,0,-4.14042e+236
5,0,-3.62605e+236
0,0.1,-2.31711e+234
0.1,0.1,-3.10087e+234
0.2,0.1,-4.87121e+234
0.3,0.1,-8.06788e+234
0.4,0.1,-1.34373e+235
0.5,0.1,-2.21408e+235
0.6,0.1,-3.5903e+235
0.7,0.1,-5.72017e+235
0.8,0.1,-8.94937e+235
0.9,0.1,-1.37465e+236
1,0.1,-2.07282e+236
1.1,0.1,-3.0681e+236
1.2,0.1,-4.45746e+236
1.3,0.1,-6.35598e+236
1.4,0.1,-8.89455e+236
1.5,0.1,-1.22146e+237
1.6,0.1,-1.64591e+237
1.7,0.1,-2.17607e+237
1.8,0.1,-2.82251e+237
1.9,0.1,-3.59127e+237
2,0.1,-4.48194e+237
2.1,0.1,-5.48581e+237
2.2,0.1,-6.58447e+237
2.3,0.1,-7.74916e+237
2.4,0.1,-8.94108e+237
2.5,0.1,-1.01129e+238
2.6,0.1,-1.12113e+238
2.7,0.1,-1.21811e+238
2.8,0.1,-1.29693e+238
2.9,0.1,-1.35302e+238
3,0.1,-1.38297e+238
3.1,0.1,-1.38488e+238
3.2,0.1,-1.35854e+238
3.3,0.1,-1.3055e+238
3.4,0.1,-1.22891e+238
3.5,0.1,-1.13317e+238
3.6,0.1,-1.02354e+238
3.7,0.1,-9.05667e+237
3.8,0.1,-7.85064e+237
3.9,0.1,-6.66725e+237
4,0.1,-5.54804e+237
4.1,0.1,-4.52431e+237
4.2,0.1,-3.61662e+237
