x,value
0,3.00629e-08
0.1,8.43088e-08
0.2,2.79362e-07
0.3,9.07361e-07
0.4,2.83918e-06
0.5,8.53876e-06
0.6,2.46522e-05
0.7,6.82436e-05
0.8,0.000180918
0.9,0.000458738
1,0.00111105
1.1,0.00256681
1.2,0.00564854
1.3,0.0118231
1.4,0.0235037
1.5,0.0443104
1.6,0.0791022
1.7,0.133519
1.8,0.212784
1.9,0.319724
2,0.452363
2.1,0.601957
2.2,0.752602
2.3,0.88333
2.4,0.972677
2.5,1.00447
2.6,0.972677
2.7,0.88333
2.8,0.752602
2.9,0.601957
3,0.452363
3.1,0.319724
3.2,0.212784
3.3,0.133519
3.4,0.0791022
3.5,0.0443104
3.6,0.0235037
3.7,0.0118231
3.8,0.00564854
3.9,0.00256681
4,0.00111105
4.1,0.000458738
4.2,0.000180918
4.3,6.82436e-05
4.4,2.46522e-05
4.5,8.53876e-06
4.6,2.83918e-06
4.7,9.07361e-07
4.8,2.79362e-07
4.9,8.43088e-08
5,3.00629e-08
