t = 0:
2,4,7.0236e-05
2,5,-1.81792e-06
3,0,0.0020252
3,1,0.0516817
3,2,0.655083
3,3,0.0447595
3,4,0.00184842
3,5,-5.01312e-05
4,0,0.0266424
4,1,0.663626
4,2,8.27388
4,3,0.655126
4,4,0.0257965
4,5,-0.000696937
5,0,0.00202757
5,1,0.051866
5,2,0.663629
5,3,0.0517188
5,4,0.00197363
5,5,-5.17251e-05
6,0,7.53102e-05
6,1,0.00198036
6,2,0.0260306
6,3,0.00263654
6,4,0.000121685
6,5,-3.7434e-06
7,0,3.6142e-06
7,1,0.000122416
7,2,0.00263584
7,3,0.0259494
7,4,0.00192478
7,5,-7.72883e-05
8,0,4.98259e-05
8,1,0.001974
8,2,0.0516716
8,3,0.658531
8,4,0.0482938
8,5,-0.0020388
9,0,0.000668957
9,1,0.0257806
9,2,0.656245
9,3,8.06982
9,4,0.51236
9,5,-0.025314
10,0,-5.5553e-05
10,1,-0.00220848
10,2,-0.058027
10,3,-0.743772
10,4,-0.0557873
10,5,0.00229822

t = 0.5:
0,0,1.22473e-07
0,1,2.52461e-06
0,2,2.96789e-05
0,3,2.68065e-06
0,4,1.2119e-07
0,5,-3.8372e-09
1,0,5.31287e-06
1,1,0.000102318
1,2,0.00122553
1,3,0.000111364
1,4,5.18871e-06
1,5,-1.69494e-07
2,0,0.000180563
2,1,0.00367239
2,2,0.03843
2,3,0.00337137
2,4,0.000164317
2,5,-5.57491e-06
3,0,0.00385179
3,1,0.0771815
3,2,0.774106
3,3,0.0622758
3,4,0.00336797
3,5,-0.000120166
4,0,0.0402312
4,1,0.792687
4,2,7.90991
4,3,0.774254
4,4,0.0384568
4,5,-0.00133689
5,0,0.00386108
5,1,0.0777265
5,2,0.79271
5,3,0.077296
5,4,0.00372542
5,5,-0.000126066
6,0,0.000182135
6,1,0.00374888
6,2,0.0390975
6,3,0.0049844
6,4,0.00029094
6,5,-1.16387e-05
7,0,1.11478e-05
7,1,0.000293869
7,2,0.00498252
7,3,0.0388617
7,4,0.00357528
7,5,-0.000186877
8,0,0.00012015
8,1,0.00372772
8,2,0.0771863
8,3,0.78101
8,4,0.0689684
8,5,-0.00383486
9,0,0.00126795
9,1,0.0384633
9,2,0.777066
9,3,7.54743
9,4,0.509059
9,5,-0.036595
10,0,-0.000138105
10,1,-0.00430114
10,2,-0.0894753
10,3,-0.913765
10,4,-0.0846518
10,5,0.00448576

t = 0.6:
0,0,3.63213e-07
0,1,5.99088e-06
0,2,5.96957e-05
0,3,6.5132e-06
0,4,3.59983e-07
0,5,-1.42503e-08
1,0,1.28331e-05
1,1,0.00019586
1,2,0.00201651
1,3,0.000219246
1,4,1.24799e-05
1,5,-5.09181e-07
2,0,0.000364889
2,1,0.00604385
2,2,0.0525447
2,3,0.00537079
2,4,0.000321364
2,5,-1.36523e-05
3,0,0.00644667
3,1,0.105939
3,2,0.875298
3,3,0.0787288
3,4,0.00536451
